catalog_number	name	basin	timestamp	lat_y	lon_x	max_wind_kts	min_cp_mb	sequence	fspeed_kts	is_landfall_point	rmax_nmi	gwaf
	MATTHEW		2016-09-28-12-00	13.4	-60.7	50.0	1008.0	0	3.343986600877574	0	15	0.9
	MATTHEW		2016-09-28-13-00	13.466666666666667	-60.91666666666667	50.0	1008.0	1	3.343986600877574	0	15	0.9
	MATTHEW		2016-09-28-14-00	13.533333333333333	-61.13333333333334	50.0	1008.0	2	3.343986600877574	0	15	0.9
	MATTHEW		2016-09-28-15-00	13.6	-61.35000000000001	50.0	1008.0	3	3.343986600877574	0	15	0.9
	MATTHEW		2016-09-28-16-00	13.666666666666666	-61.56666666666667	50.0	1008.0	4	3.343986600877574	0	15	0.9
	MATTHEW		2016-09-28-17-00	13.733333333333334	-61.78333333333333	50.0	1008.0	5	3.343986600877574	0	15	0.9
	MATTHEW		2016-09-28-18-00	13.8	-62.0	50.0	1008.0	6	13.262414303501986	0	15	0.9
	MATTHEW		2016-09-28-19-00	13.816666666666666	-62.18333333333334	50.0	1008.0	7	13.262414303501986	0	15	0.9
	MATTHEW		2016-09-28-20-00	13.833333333333334	-62.36666666666667	50.0	1008.0	8	13.262414303501986	0	15	0.9
	MATTHEW		2016-09-28-21-00	13.850000000000001	-62.55	50.0	1008.0	9	13.262414303501986	0	15	0.9
	MATTHEW		2016-09-28-22-00	13.866666666666667	-62.733333333333334	50.0	1008.0	10	13.262414303501986	0	15	0.9
	MATTHEW		2016-09-28-23-00	13.883333333333333	-62.91666666666667	50.0	1008.0	11	13.262414303501986	0	15	0.9
	MATTHEW		2016-09-29-00-00	13.9	-63.1	55.0	1004.0	12	10.734122712375934	0	15	0.9
	MATTHEW		2016-09-29-01-00	13.916666666666668	-63.36666666666667	55.0	1004.0	13	10.734122712375934	0	15	0.9
	MATTHEW		2016-09-29-02-00	13.933333333333334	-63.63333333333333	55.0	1004.0	14	10.734122712375934	0	15	0.9
	MATTHEW		2016-09-29-03-00	13.95	-63.9	55.0	1004.0	15	10.734122712375934	0	15	0.9
	MATTHEW		2016-09-29-04-00	13.966666666666667	-64.16666666666667	55.0	1004.0	16	10.734122712375934	0	15	0.9
	MATTHEW		2016-09-29-05-00	13.983333333333334	-64.43333333333334	55.0	1004.0	17	10.734122712375934	0	15	0.9
	MATTHEW		2016-09-29-06-00	14.0	-64.7	55.0	1002.0	18	15.570736062563894	0	15	0.9
	MATTHEW		2016-09-29-07-00	14.033333333333333	-64.96666666666667	55.0	1002.0	19	15.570736062563894	0	15	0.9
	MATTHEW		2016-09-29-08-00	14.066666666666666	-65.23333333333333	55.0	1002.0	20	15.570736062563894	0	15	0.9
	MATTHEW		2016-09-29-09-00	14.1	-65.5	55.0	1002.0	21	15.570736062563894	0	15	0.9
	MATTHEW		2016-09-29-10-00	14.133333333333333	-65.76666666666667	55.0	1002.0	22	15.570736062563894	0	15	0.9
	MATTHEW		2016-09-29-11-00	14.166666666666666	-66.03333333333333	55.0	1002.0	23	15.570736062563894	0	15	0.9
	MATTHEW		2016-09-29-12-00	14.2	-66.3	60.0	996.0	24	15.656821196127671	0	15	0.9
	MATTHEW		2016-09-29-13-00	14.183333333333334	-66.55	60.0	996.0	25	15.656821196127671	0	15	0.9
	MATTHEW		2016-09-29-14-00	14.166666666666666	-66.8	60.0	996.0	26	15.656821196127671	0	15	0.9
	MATTHEW		2016-09-29-15-00	14.149999999999999	-67.05	60.0	996.0	27	15.656821196127671	0	15	0.9
	MATTHEW		2016-09-29-16-00	14.133333333333333	-67.3	60.0	996.0	28	15.656821196127671	0	15	0.9
	MATTHEW		2016-09-29-17-00	14.116666666666667	-67.55	60.0	996.0	29	15.656821196127671	0	15	0.9
	MATTHEW		2016-09-29-18-00	14.1	-67.8	65.0	993.0	30	14.58903048936596	0	15	0.9
	MATTHEW		2016-09-29-19-00	14.1	-67.96666666666667	65.0	993.0	31	14.58903048936596	0	15	0.9
	MATTHEW		2016-09-29-20-00	14.1	-68.13333333333334	65.0	993.0	32	14.58903048936596	0	15	0.9
	MATTHEW		2016-09-29-21-00	14.1	-68.30000000000001	65.0	993.0	33	14.58903048936596	0	15	0.9
	MATTHEW		2016-09-29-22-00	14.1	-68.46666666666667	65.0	993.0	34	14.58903048936596	0	15	0.9
	MATTHEW		2016-09-29-23-00	14.1	-68.63333333333333	65.0	993.0	35	14.58903048936596	0	15	0.9
	MATTHEW		2016-09-30-00-00	14.1	-68.8	70.0	983.0	36	9.705256084496382	0	15	0.9
	MATTHEW		2016-09-30-01-00	14.1	-68.88333333333333	70.0	983.0	37	9.705256084496382	0	15	0.9
	MATTHEW		2016-09-30-02-00	14.1	-68.96666666666665	70.0	983.0	38	9.705256084496382	0	15	0.9
	MATTHEW		2016-09-30-03-00	14.1	-69.04999999999998	70.0	983.0	39	9.705256084496382	0	15	0.9
	MATTHEW		2016-09-30-04-00	14.1	-69.13333333333333	70.0	983.0	40	9.705256084496382	0	15	0.9
	MATTHEW		2016-09-30-05-00	14.1	-69.21666666666667	70.0	983.0	41	9.705256084496382	0	15	0.9
	MATTHEW		2016-09-30-06-00	14.1	-69.3	85.0	979.0	42	4.852630783857799	0	15	0.9
	MATTHEW		2016-09-30-07-00	14.083333333333332	-69.4	85.0	979.0	43	4.852630783857799	0	15	0.9
	MATTHEW		2016-09-30-08-00	14.066666666666666	-69.5	85.0	979.0	44	4.852630783857799	0	15	0.9
	MATTHEW		2016-09-30-09-00	14.05	-69.6	85.0	979.0	45	4.852630783857799	0	15	0.9
	MATTHEW		2016-09-30-10-00	14.033333333333333	-69.7	85.0	979.0	46	4.852630783857799	0	15	0.9
	MATTHEW		2016-09-30-11-00	14.016666666666666	-69.80000000000001	85.0	979.0	47	4.852630783857799	0	15	0.9
	MATTHEW		2016-09-30-12-00	14.0	-69.9	85.0	979.0	48	5.909765836104879	0	15	0.9
	MATTHEW		2016-09-30-13-00	13.95	-70.05000000000001	85.0	979.0	49	5.909765836104879	0	15	0.9
	MATTHEW		2016-09-30-14-00	13.899999999999999	-70.2	85.0	979.0	50	5.909765836104879	0	15	0.9
	MATTHEW		2016-09-30-15-00	13.849999999999998	-70.35	85.0	979.0	51	5.909765836104879	0	15	0.9
